Timestamp,Charge,Battery%
1790,986477,100
1800,1001037,100
1810,1015598,100
1820,1030158,100
1830,1066560,100
1840,1157563,99
1850,1248566,99
1860,1343210,99
1870,1434213,99
1880,1532497,99
1890,1627141,99
1900,1725424,99
1910,1823708,99
1920,1918352,99
1930,2016635,99
1940,2114919,99
1950,2216843,99
1960,2315126,99
1970,2420690,99
1980,2522614,99
1990,2628178,99
2000,2733742,99
2010,2842946,99
2020,2948510,99
2030,3057714,99
2040,3170559,99
2050,3279763,99
2060,3392607,99
2070,3501811,98
2080,3614655,98
2090,3731140,98
2100,3843984,98
2110,3960468,98
2120,4073312,98
2130,4189797,98
2140,4306281,98
2150,4422766,98
2160,4539250,98
2170,4659375,98
2180,4775859,98
2190,4892343,98
2200,5012468,98
2210,5128952,98
2220,5249077,98
2230,5365561,98
2240,5485686,98
2250,5602170,98
2260,5718654,98
2270,5835139,97
2280,5947983,97
2290,6064467,97
2300,6177312,97
2310,6293796,97
2320,6406640,97
2330,6523125,97
2340,6635969,97
2350,6748813,97
2360,6865297,97
2370,6978142,97
2380,7090986,97
2390,7200190,97
2400,7309394,97
2410,7418598,97
2420,7527802,97
2430,7637006,97
2440,7746210,97
2450,7855415,97
2460,7964619,97
